,"Population estimates, July 1, 2019, (V2019)","Population estimates base, April 1, 2010, (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019, (V2019)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent(a)","American Indian and Alaska Native alone, percent(a)","Asian alone, percent(a)","Two or More Races, percent","Hispanic or Latino, percent(b)","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units, July 1, 2019, (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2019","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total retail sales, 2012 ($1,000)(c)","Total retail sales per capita, 2012(c)","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
"Chesterfield County, Virginia","352,802.0000","316,240.0000",0.1160,0.0600,0.2350,0.1540,0.1540,0.5180,0.6820,0.2450,0.0060,0.0370,0.0290,0.0950,0.6060,"25,184.0000",0.0860,"134,267.0000",0.7580,"241,200.0000","1,595.0000",505.0000,"1,251.0000","3,202.0000","124,971.0000",2.7200,0.8720,0.1190,0.9460,0.9010,0.9230,0.4050,0.0790,0.0790,0.0980,0.6810,0.6330,"4,657,329.0000","14,381.0000",26.6000,"82,599.0000","37,658.0000","37,658.0000",0.0660,"23,311.0000","12,333.0000","8,455.0000","6,470.0000","15,928.0000","2,847.0000","19,274.0000",747.1000,423.3000,"51,041.0000"
"Clarke County, Virginia","14,619.0000","14,025.0000",0.0420,0.0440,0.1950,0.2180,0.2180,0.5050,0.9060,0.0470,0.0070,0.0140,0.0250,0.0640,0.8530,"1,095.0000",0.0350,"6,396.0000",0.7500,"347,200.0000","1,776.0000",483.0000,"1,151.0000",174.0000,"5,612.0000",2.5400,0.9010,0.0610,0.9090,0.7870,0.8910,0.3220,0.0460,0.0460,0.1060,0.6370,0.5820,"81,456.0000","5,687.0000",38.1000,"80,026.0000","41,332.0000","41,332.0000",0.0630,"1,596.0000",841.0000,579.0000,120.0000,"1,441.0000",236.0000,"1,304.0000",79.7000,176.1800,"51,043.0000"
"Craig County, Virginia","5,131.0000","5,175.0000",-0.0090,0.0410,0.1750,0.2410,0.2410,0.5020,0.9810,0.0040,0.0040,0.0020,0.0090,0.0160,0.9680,320.0000,0.0020,"2,907.0000",0.7640,"165,800.0000","1,112.0000",334.0000,566.0000,8.0000,"2,297.0000",2.2200,0.8950,0.0070,0.8690,0.7350,0.9080,0.2360,0.1030,0.1030,0.0890,0.5810,0.5370,"18,648.0000","3,577.0000",33.9000,"55,708.0000","30,103.0000","30,103.0000",0.1120,200.0000,94.0000,74.0000,F,188.0000,F,181.0000,15.7000,329.5300,"51,045.0000"
"Culpeper County, Virginia","52,605.0000","46,688.0000",0.1270,0.0650,0.2470,0.1600,0.1600,0.5010,0.7940,0.1460,0.0080,0.0170,0.0330,0.1160,0.6980,"3,795.0000",0.0880,"19,239.0000",0.7270,"298,900.0000","1,842.0000",466.0000,"1,160.0000",284.0000,"17,071.0000",2.9100,0.8720,0.1240,0.8990,0.8350,0.8610,0.2570,0.0790,0.0790,0.1250,0.6470,0.6200,"550,139.0000","11,483.0000",38.2000,"77,935.0000","32,028.0000","32,028.0000",0.0920,"4,073.0000","2,078.0000","1,406.0000",477.0000,"3,331.0000",363.0000,"3,369.0000",123.1000,379.2300,"51,047.0000"
"Cumberland County, Virginia","9,932.0000","10,039.0000",-0.0110,0.0460,0.1890,0.2310,0.2310,0.5160,0.6580,0.3050,0.0080,0.0050,0.0240,0.0320,0.6350,798.0000,0.0100,"4,760.0000",0.7390,"146,000.0000","1,179.0000",371.0000,855.0000,35.0000,"3,975.0000",2.4600,0.9440,0.0350,0.7960,0.6060,0.8350,0.1490,0.0940,0.0940,0.1240,0.6240,0.5520,"40,387.0000","4,101.0000",44.8000,"47,469.0000","25,138.0000","25,138.0000",0.1380,426.0000,239.0000,154.0000,48.0000,361.0000,60.0000,348.0000,33.8000,297.4600,"51,049.0000"
"Dickenson County, Virginia","14,318.0000","15,877.0000",-0.0980,0.0470,0.1960,0.2300,0.2300,0.4910,0.9820,0.0050,0.0030,0.0020,0.0080,0.0110,0.9730,925.0000,0.0040,"7,563.0000",0.7570,"81,000.0000",915.0000,298.0000,592.0000,1.0000,"5,778.0000",2.4700,0.9310,0.0040,0.7450,0.6230,0.7740,0.1070,0.2150,0.2150,0.1160,0.3730,0.3570,"102,343.0000","6,523.0000",27.8000,"29,932.0000","24,978.0000","24,978.0000",0.2420,805.0000,354.0000,269.0000,F,757.0000,99.0000,655.0000,48.1000,330.5300,"51,051.0000"
"Dinwiddie County, Virginia","28,544.0000","28,012.0000",0.0190,0.0470,0.1990,0.1790,0.1790,0.5100,0.6480,0.3220,0.0040,0.0080,0.0170,0.0380,0.6200,"2,133.0000",0.0280,"11,856.0000",0.7720,"168,300.0000","1,337.0000",412.0000,"1,005.0000",89.0000,"10,401.0000",2.6600,0.8660,0.0410,0.8580,0.7450,0.8320,0.1860,0.1070,0.1070,0.1120,0.6290,0.6000,"144,913.0000","5,177.0000",30.7000,"60,346.0000","28,922.0000","28,922.0000",0.1070,"1,545.0000",852.0000,555.0000,486.0000,"1,031.0000",101.0000,"1,382.0000",55.6000,503.7200,"51,053.0000"
"Essex County, Virginia","10,953.0000","11,149.0000",-0.0180,0.0490,0.1840,0.2370,0.2370,0.5310,0.5730,0.3740,0.0090,0.0120,0.0300,0.0390,0.5490,636.0000,0.0160,"5,894.0000",0.6710,"202,800.0000","1,301.0000",462.0000,885.0000,33.0000,"4,555.0000",2.3800,0.8780,0.0360,0.8070,0.6140,0.8230,0.1740,0.1020,0.1020,0.1200,0.6090,0.5880,"236,634.0000","21,066.0000",35.7000,"51,954.0000","26,847.0000","26,847.0000",0.1620,842.0000,470.0000,229.0000,146.0000,640.0000,139.0000,614.0000,43.4000,257.1200,"51,057.0000"
"Fairfax County, Virginia","1,147,532.0000","1,081,703.0000",0.0610,0.0630,0.2330,0.1400,0.1400,0.5040,0.6470,0.1060,0.0050,0.2010,0.0390,0.1650,0.5000,"73,603.0000",0.3130,"416,058.0000",0.6800,"563,100.0000","2,729.0000",870.0000,"1,881.0000","2,138.0000","396,501.0000",2.8700,0.8530,0.3930,0.9720,0.9390,0.9250,0.6160,0.0450,0.0450,0.0880,0.7060,0.6490,"14,589,534.0000","13,043.0000",32.3000,"124,831.0000","56,231.0000","56,231.0000",0.0600,"115,917.0000","62,967.0000","41,905.0000","47,911.0000","64,164.0000","12,378.0000","98,963.0000","2,766.8000",390.9700,"51,059.0000"
"Fauquier County, Virginia","71,222.0000","65,228.0000",0.0920,0.0570,0.2310,0.1690,0.1690,0.5060,0.8700,0.0780,0.0050,0.0170,0.0280,0.0920,0.7900,"6,120.0000",0.0640,"27,398.0000",0.7830,"395,500.0000","2,291.0000",613.0000,"1,281.0000",202.0000,"24,562.0000",2.8200,0.8950,0.0910,0.9230,0.8830,0.9250,0.3640,0.0560,0.0560,0.1010,0.6720,0.6170,"920,778.0000","13,838.0000",41.0000,"100,783.0000","45,408.0000","45,408.0000",0.0610,"6,836.0000","3,713.0000","2,258.0000",692.0000,"5,908.0000",794.0000,"5,625.0000",100.7000,647.4500,"51,061.0000"
"Floyd County, Virginia","15,749.0000","15,291.0000",0.0300,0.0480,0.1930,0.2350,0.2350,0.4960,0.9550,0.0200,0.0020,0.0050,0.0170,0.0300,0.9300,862.0000,0.0310,"8,110.0000",0.8110,"170,700.0000","1,206.0000",314.0000,705.0000,26.0000,"6,493.0000",2.4000,0.9130,0.0260,0.8160,0.7360,0.8700,0.2210,0.0940,0.0940,0.1370,0.5720,0.5350,"70,667.0000","4,592.0000",34.3000,"51,521.0000","26,882.0000","26,882.0000",0.1140,"1,525.0000",819.0000,554.0000,115.0000,"1,389.0000",106.0000,"1,371.0000",40.2000,380.4200,"51,063.0000"
"Fluvanna County, Virginia","27,270.0000","25,742.0000",0.0590,0.0530,0.1980,0.2050,0.2050,0.5420,0.8070,0.1530,0.0040,0.0090,0.0260,0.0380,0.7760,"2,279.0000",0.0350,"11,162.0000",0.8500,"234,700.0000","1,536.0000",519.0000,"1,163.0000",123.0000,"9,923.0000",2.5500,0.9010,0.0480,0.9220,0.8580,0.9110,0.3390,0.0800,0.0800,0.1070,0.5930,0.5400,"75,319.0000","2,901.0000",32.9000,"76,873.0000","39,633.0000","39,633.0000",0.0730,"1,857.0000",966.0000,722.0000,228.0000,"1,596.0000",288.0000,"1,464.0000",89.8000,286.0100,"51,065.0000"
"Franklin County, Virginia","56,042.0000","56,128.0000",-0.0020,0.0450,0.1870,0.2420,0.2420,0.5080,0.8960,0.0790,0.0050,0.0050,0.0150,0.0290,0.8720,"4,144.0000",0.0220,"30,069.0000",0.8170,"178,100.0000","1,206.0000",349.0000,732.0000,117.0000,"22,997.0000",2.3800,0.9050,0.0330,0.8350,0.7350,0.8810,0.2190,0.1110,0.1110,0.1180,0.5580,0.5290,"458,981.0000","8,136.0000",30.6000,"56,254.0000","30,487.0000","30,487.0000",0.1150,"4,570.0000","2,548.0000","1,459.0000",324.0000,"4,133.0000",457.0000,"3,980.0000",81.3000,690.4300,"51,067.0000"
"Frederick County, Virginia","89,313.0000","78,269.0000",0.1410,0.0580,0.2270,0.1780,0.1780,0.5020,0.9050,0.0470,0.0050,0.0180,0.0240,0.0930,0.8230,"6,478.0000",0.0620,"35,450.0000",0.7760,"251,200.0000","1,574.0000",437.0000,"1,125.0000",771.0000,"31,503.0000",2.7000,0.8750,0.0970,0.9050,0.8130,0.8920,0.2830,0.0800,0.0800,0.1050,0.6450,0.6070,"1,346,134.0000","16,760.0000",32.3000,"78,002.0000","35,123.0000","35,123.0000",0.0650,"6,752.0000","3,985.0000","2,187.0000",536.0000,"5,980.0000",648.0000,"5,768.0000",189.4000,413.5000,"51,069.0000"
