,"Population estimates, July 1, 2019, (V2019)","Population estimates base, April 1, 2010, (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019, (V2019)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent(a)","American Indian and Alaska Native alone, percent(a)","Asian alone, percent(a)","Two or More Races, percent","Hispanic or Latino, percent(b)","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units, July 1, 2019, (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2019","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total retail sales, 2012 ($1,000)(c)","Total retail sales per capita, 2012(c)","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
"Pulaski County, Virginia","34,027.0000","34,857.0000",-0.0240,0.0470,0.1750,0.2350,0.2350,0.4990,0.9230,0.0500,0.0030,0.0070,0.0170,0.0180,0.9070,"2,603.0000",0.0190,"17,302.0000",0.7140,"149,500.0000","1,111.0000",376.0000,711.0000,47.0000,"14,533.0000",2.2700,0.8670,0.0240,0.8460,0.7040,0.8740,0.2000,0.1420,0.1420,0.0960,0.5710,0.5330,"352,657.0000","10,152.0000",23.8000,"53,866.0000","28,125.0000","28,125.0000",0.1460,"2,082.0000",892.0000,790.0000,103.0000,"1,885.0000",175.0000,"1,679.0000",109.0000,319.8600,"51,155.0000"
"Rappahannock County, Virginia","7,370.0000","7,506.0000",-0.0180,0.0390,0.1620,0.2790,0.2790,0.5080,0.9240,0.0420,0.0040,0.0100,0.0200,0.0440,0.8830,629.0000,0.0440,"3,998.0000",0.7420,"377,700.0000","1,881.0000",534.0000,"1,055.0000",22.0000,"2,913.0000",2.5300,0.9330,0.0530,0.8820,0.7710,0.8840,0.3580,0.1120,0.1120,0.1330,0.6000,0.5330,"29,306.0000","3,931.0000",39.9000,"74,284.0000","41,792.0000","41,792.0000",0.0850,938.0000,598.0000,259.0000,F,904.0000,99.0000,825.0000,27.7000,266.2300,"51,157.0000"
"Richmond County, Virginia","9,023.0000","9,254.0000",-0.0250,0.0420,0.1690,0.2110,0.2110,0.4360,0.6680,0.2960,0.0060,0.0070,0.0230,0.0730,0.6050,664.0000,0.0410,"3,989.0000",0.6990,"180,300.0000","1,271.0000",408.0000,797.0000,23.0000,"3,069.0000",2.3600,0.8350,0.0850,0.7530,0.6740,0.8060,0.1770,0.0890,0.0890,0.1270,0.4480,0.4940,"68,192.0000","7,528.0000",26.3000,"49,517.0000","22,853.0000","22,853.0000",0.1780,688.0000,376.0000,203.0000,118.0000,536.0000,119.0000,527.0000,48.3000,191.4900,"51,159.0000"
"Roanoke County, Virginia","94,186.0000","92,465.0000",0.0190,0.0440,0.1970,0.2180,0.2180,0.5180,0.8790,0.0640,0.0020,0.0350,0.0190,0.0330,0.8520,"6,541.0000",0.0570,"41,096.0000",0.7480,"199,800.0000","1,364.0000",431.0000,956.0000,162.0000,"38,222.0000",2.4000,0.8810,0.0690,0.9080,0.8410,0.9230,0.3560,0.0720,0.0720,0.0830,0.6120,0.5630,"891,006.0000","9,591.0000",23.6000,"68,948.0000","36,469.0000","36,469.0000",0.0650,"6,344.0000","3,432.0000","2,241.0000",559.0000,"5,523.0000",721.0000,"5,168.0000",368.7000,250.5200,"51,161.0000"
"Rockbridge County, Virginia","22,573.0000","22,355.0000",0.0100,0.0400,0.1710,0.2680,0.2680,0.5050,0.9350,0.0330,0.0060,0.0070,0.0180,0.0200,0.9190,"1,707.0000",0.0230,"11,532.0000",0.7520,"199,600.0000","1,289.0000",393.0000,800.0000,68.0000,"9,248.0000",2.4200,0.8820,0.0330,0.8380,0.7570,0.8680,0.2670,0.0960,0.0960,0.1150,0.5440,0.5070,"360,059.0000","16,078.0000",25.9000,"54,600.0000","31,539.0000","31,539.0000",0.1150,"1,562.0000",843.0000,497.0000,76.0000,"1,411.0000",162.0000,"1,313.0000",37.3000,597.5600,"51,163.0000"
"Rockingham County, Virginia","81,948.0000","76,321.0000",0.0740,0.0560,0.2180,0.1950,0.1950,0.5090,0.9420,0.0250,0.0060,0.0100,0.0160,0.0740,0.8790,"4,423.0000",0.0580,"36,163.0000",0.7450,"211,500.0000","1,317.0000",388.0000,907.0000,288.0000,"30,994.0000",2.5300,0.8780,0.0930,0.8530,0.7630,0.8400,0.2630,0.0820,0.0820,0.1230,0.6280,0.5710,"429,800.0000","5,554.0000",21.9000,"61,864.0000","31,275.0000","31,275.0000",0.0810,"5,281.0000","3,079.0000","1,654.0000",183.0000,"4,953.0000",660.0000,"4,445.0000",89.9000,849.0900,"51,165.0000"
"Russell County, Virginia","26,586.0000","28,923.0000",-0.0810,0.0470,0.1870,0.2250,0.2250,0.5120,0.9760,0.0110,0.0030,0.0020,0.0080,0.0140,0.9660,"1,268.0000",0.0090,"13,536.0000",0.7610,"98,000.0000",912.0000,297.0000,582.0000,17.0000,"10,812.0000",2.4600,0.9280,0.0200,0.7200,0.5970,0.8030,0.1220,0.2060,0.2060,0.1070,0.4390,0.3970,"233,167.0000","8,197.0000",28.0000,"39,758.0000","21,605.0000","21,605.0000",0.2000,"1,627.0000","1,026.0000",439.0000,46.0000,"1,528.0000",58.0000,"1,490.0000",61.0000,473.8200,"51,167.0000"
"Scott County, Virginia","21,566.0000","23,168.0000",-0.0690,0.0410,0.1780,0.2490,0.2490,0.4970,0.9760,0.0090,0.0030,0.0020,0.0090,0.0150,0.9640,"1,498.0000",0.0120,"11,966.0000",0.7740,"94,800.0000",928.0000,298.0000,563.0000,13.0000,"8,773.0000",2.4100,0.9070,0.0170,0.7420,0.6430,0.8140,0.1330,0.2280,0.2280,0.1070,0.4800,0.4240,"210,545.0000","9,242.0000",29.3000,"39,820.0000","22,898.0000","22,898.0000",0.1480,"1,151.0000",650.0000,392.0000,F,"1,080.0000",25.0000,"1,068.0000",43.3000,535.5300,"51,169.0000"
"Shenandoah County, Virginia","43,616.0000","41,996.0000",0.0390,0.0550,0.2100,0.2220,0.2220,0.5090,0.9360,0.0290,0.0050,0.0110,0.0190,0.0740,0.8720,"3,374.0000",0.0470,"21,335.0000",0.7090,"213,200.0000","1,368.0000",403.0000,900.0000,123.0000,"17,402.0000",2.4600,0.8570,0.0740,0.8400,0.7440,0.8700,0.2050,0.1070,0.1070,0.1200,0.6100,0.5600,"499,549.0000","11,731.0000",29.5000,"57,252.0000","28,882.0000","28,882.0000",0.1030,"3,319.0000","1,619.0000","1,117.0000",251.0000,"2,972.0000",388.0000,"2,703.0000",82.5000,508.7800,"51,171.0000"
"Smyth County, Virginia","30,104.0000","32,213.0000",-0.0650,0.0470,0.1910,0.2260,0.2260,0.5110,0.9570,0.0250,0.0020,0.0050,0.0110,0.0200,0.9400,"2,147.0000",0.0140,"15,352.0000",0.7150,"95,800.0000",928.0000,315.0000,610.0000,16.0000,"12,686.0000",2.3600,0.8820,0.0260,0.7960,0.7000,0.8330,0.1460,0.1890,0.1890,0.1130,0.5170,0.4770,"271,994.0000","8,575.0000",21.9000,"40,932.0000","21,605.0000","21,605.0000",0.1650,"2,013.0000","1,192.0000",644.0000,44.0000,"1,890.0000",294.0000,"1,608.0000",71.4000,450.9300,"51,173.0000"
"Southampton County, Virginia","17,631.0000","18,573.0000",-0.0510,0.0420,0.1860,0.2080,0.2080,0.4830,0.6230,0.3470,0.0050,0.0050,0.0190,0.0200,0.6100,"1,852.0000",0.0050,"7,673.0000",0.7480,"178,500.0000","1,307.0000",440.0000,829.0000,59.0000,"6,562.0000",2.5000,0.8790,0.0160,0.8640,0.7430,0.8480,0.1840,0.1050,0.1050,0.1060,0.5360,0.5250,"55,663.0000","3,024.0000",31.0000,"61,348.0000","26,600.0000","26,600.0000",0.1330,"1,050.0000",651.0000,371.0000,354.0000,665.0000,182.0000,848.0000,31.0000,599.1500,"51,175.0000"
"Spotsylvania County, Virginia","136,215.0000","122,453.0000",0.1120,0.0610,0.2450,0.1470,0.1470,0.5080,0.7540,0.1750,0.0050,0.0280,0.0360,0.1070,0.6660,"14,009.0000",0.0680,"49,599.0000",0.7810,"284,000.0000","1,780.0000",469.0000,"1,477.0000","1,308.0000","44,436.0000",2.9800,0.8790,0.1010,0.9480,0.8980,0.9120,0.3170,0.0800,0.0800,0.1020,0.6740,0.6160,"2,160,088.0000","17,187.0000",38.3000,"88,628.0000","37,212.0000","37,212.0000",0.0660,"9,151.0000","4,528.0000","3,355.0000","2,026.0000","6,770.0000","1,220.0000","7,301.0000",304.9000,401.5000,"51,177.0000"
"Stafford County, Virginia","152,882.0000","128,984.0000",0.1850,0.0640,0.2590,0.1070,0.1070,0.4950,0.7090,0.2000,0.0080,0.0360,0.0450,0.1420,0.5930,"20,297.0000",0.0980,"51,376.0000",0.7740,"346,100.0000","2,208.0000",556.0000,"1,546.0000",913.0000,"47,075.0000",3.0400,0.8490,0.1440,0.9690,0.9430,0.9320,0.3990,0.0600,0.0600,0.0780,0.6630,0.6310,"1,247,882.0000","9,288.0000",40.5000,"111,108.0000","42,126.0000","42,126.0000",0.0540,"8,581.0000","4,496.0000","3,285.0000","2,242.0000","6,066.0000","1,355.0000","6,816.0000",479.5000,268.9600,"51,179.0000"
"Surry County, Virginia","6,422.0000","7,064.0000",-0.0910,0.0450,0.1660,0.2390,0.2390,0.5040,0.5520,0.4150,0.0050,0.0050,0.0220,0.0270,0.5330,707.0000,0.0110,"3,611.0000",0.7430,"197,800.0000","1,401.0000",438.0000,903.0000,26.0000,"2,730.0000",2.3900,0.9330,0.0130,0.8230,0.6480,0.8500,0.2060,0.1050,0.1050,0.1010,0.6070,0.5670,"14,869.0000","2,173.0000",41.3000,"57,962.0000","30,260.0000","30,260.0000",0.1190,244.0000,146.0000,59.0000,74.0000,158.0000,F,222.0000,25.3000,278.9500,"51,181.0000"
"Sussex County, Virginia","11,159.0000","12,070.0000",-0.0750,0.0400,0.1520,0.1860,0.1860,0.4040,0.4130,0.5610,0.0060,0.0050,0.0160,0.0330,0.3890,974.0000,0.0230,"4,837.0000",0.6920,"125,800.0000","1,196.0000",372.0000,807.0000,40.0000,"3,794.0000",2.3800,0.8480,0.0470,0.7880,0.6640,0.8030,0.1270,0.1130,0.1130,0.1340,0.4560,0.5080,"112,569.0000","9,403.0000",34.9000,"49,487.0000","21,652.0000","21,652.0000",0.2160,530.0000,250.0000,253.0000,152.0000,353.0000,F,485.0000,24.7000,490.2200,"51,183.0000"
"Tazewell County, Virginia","40,595.0000","45,058.0000",-0.0990,0.0510,0.1930,0.2310,0.2310,0.5040,0.9480,0.0320,0.0020,0.0070,0.0110,0.0110,0.9380,"2,429.0000",0.0090,"20,708.0000",0.7450,"99,700.0000",933.0000,359.0000,656.0000,10.0000,"16,531.0000",2.4200,0.9000,0.0120,0.7980,0.7300,0.8170,0.1490,0.1600,0.1600,0.1160,0.4700,0.4170,"804,594.0000","18,176.0000",25.1000,"42,099.0000","23,738.0000","23,738.0000",0.2170,"2,778.0000","1,562.0000",843.0000,121.0000,"2,471.0000",229.0000,"2,305.0000",86.9000,518.8500,"51,185.0000"
"Warren County, Virginia","40,164.0000","37,450.0000",0.0720,0.0590,0.2160,0.1680,0.1680,0.5020,0.9050,0.0500,0.0060,0.0130,0.0260,0.0530,0.8600,"3,200.0000",0.0440,"16,606.0000",0.7670,"244,800.0000","1,482.0000",379.0000,"1,020.0000",150.0000,"14,651.0000",2.6400,0.8870,0.0610,0.9040,0.8320,0.8690,0.2170,0.1010,0.1010,0.1190,0.6460,0.5940,"444,630.0000","11,679.0000",41.7000,"69,116.0000","32,086.0000","32,086.0000",0.0970,"2,947.0000","1,735.0000",797.0000,241.0000,"2,565.0000",436.0000,"2,328.0000",176.0000,213.4700,"51,187.0000"
"Washington County, Virginia","53,740.0000","54,961.0000",-0.0220,0.0430,0.1800,0.2360,0.2360,0.5070,0.9670,0.0150,0.0020,0.0050,0.0090,0.0160,0.9530,"3,537.0000",0.0140,"26,018.0000",0.7520,"151,800.0000","1,117.0000",340.0000,716.0000,63.0000,"22,321.0000",2.3400,0.8830,0.0190,0.8480,0.7540,0.8570,0.2280,0.1550,0.1550,0.1150,0.5490,0.5130,"820,491.0000","14,867.0000",25.5000,"48,495.0000","27,524.0000","27,524.0000",0.1230,"4,551.0000","2,722.0000","1,204.0000",189.0000,"4,124.0000",542.0000,"3,669.0000",97.8000,560.9800,"51,191.0000"
"Westmoreland County, Virginia","18,015.0000","17,460.0000",0.0320,0.0540,0.1910,0.2560,0.2560,0.5120,0.6920,0.2610,0.0080,0.0090,0.0290,0.0690,0.6380,"2,024.0000",0.0390,"11,060.0000",0.7320,"199,100.0000","1,400.0000",472.0000,948.0000,99.0000,"7,923.0000",2.2200,0.8800,0.0590,0.8580,0.7490,0.8450,0.1920,0.0770,0.0770,0.1250,0.5570,0.5290,"109,793.0000","6,265.0000",42.6000,"53,853.0000","32,996.0000","32,996.0000",0.1590,"1,250.0000",680.0000,464.0000,216.0000,996.0000,256.0000,907.0000,76.1000,229.3800,"51,193.0000"
"Wise County, Virginia","37,383.0000","41,437.0000",-0.0980,0.0460,0.1910,0.1920,0.1920,0.4790,0.9250,0.0580,0.0020,0.0040,0.0110,0.0120,0.9140,"2,193.0000",0.0110,"17,916.0000",0.6660,"85,500.0000",986.0000,334.0000,632.0000,7.0000,"14,925.0000",2.3700,0.8620,0.0170,0.8100,0.6440,0.7590,0.1500,0.2050,0.2050,0.1190,0.4490,0.4390,"500,864.0000","12,241.0000",22.3000,"38,888.0000","21,500.0000","21,500.0000",0.2040,"2,086.0000","1,016.0000",633.0000,29.0000,"1,961.0000",274.0000,"1,709.0000",102.8000,403.1900,"51,195.0000"
"Wythe County, Virginia","28,684.0000","29,246.0000",-0.0190,0.0510,0.1980,0.2210,0.2210,0.5110,0.9460,0.0300,0.0020,0.0060,0.0160,0.0140,0.9350,"2,240.0000",0.0060,"14,422.0000",0.7800,"128,400.0000","1,033.0000",304.0000,676.0000,48.0000,"11,983.0000",2.3900,0.9150,0.0140,0.8100,0.7100,0.8620,0.1900,0.1490,0.1490,0.1150,0.5910,0.5490,"905,499.0000","30,956.0000",23.3000,"49,364.0000","27,381.0000","27,381.0000",0.1280,"2,033.0000","1,188.0000",562.0000,81.0000,"1,837.0000",212.0000,"1,654.0000",63.3000,461.8200,"51,197.0000"
"York County, Virginia","68,280.0000","65,191.0000",0.0470,0.0530,0.2350,0.1660,0.1660,0.5090,0.7540,0.1380,0.0050,0.0610,0.0390,0.0690,0.7010,"9,508.0000",0.0790,"28,522.0000",0.7130,"327,100.0000","1,938.0000",560.0000,"1,480.0000",260.0000,"25,103.0000",2.6500,0.8400,0.1110,0.9480,0.9010,0.9470,0.4710,0.0760,0.0760,0.0740,0.6030,0.5680,"884,399.0000","13,370.0000",22.9000,"92,069.0000","41,201.0000","41,201.0000",0.0510,"4,158.0000","2,024.0000","1,694.0000",859.0000,"3,099.0000",701.0000,"3,150.0000",624.8000,104.7800,"51,199.0000"
"Alexandria city, Virginia","159,428.0000","139,998.0000",0.1390,0.0710,0.1820,0.1130,0.1130,0.5180,0.6220,0.2180,0.0020,0.0590,0.0530,0.1670,0.5190,"11,220.0000",0.2720,X,0.4330,"572,900.0000","2,773.0000",960.0000,"1,747.0000",X,"70,598.0000",2.2100,0.7900,0.3350,0.9570,0.9150,0.9300,0.6310,0.0480,0.0480,0.1190,0.7610,0.7220,"2,416,013.0000","16,515.0000",31.9000,"100,939.0000","62,679.0000","62,679.0000",0.1030,"17,540.0000","9,252.0000","6,882.0000","6,304.0000","10,316.0000","1,777.0000","14,805.0000","9,314.3000",15.0300,"5,101,000.0000"
"Bristol city, Virginia","16,762.0000","17,738.0000",-0.0550,0.0550,0.2130,0.2040,0.2040,0.5290,0.9050,0.0570,0.0000,0.0020,0.0320,0.0230,0.8820,"1,216.0000",0.0110,X,0.6040,"111,700.0000",966.0000,378.0000,687.0000,X,"7,334.0000",2.2600,0.8600,0.0250,0.8410,0.7730,0.8470,0.2540,0.1670,0.1670,0.1280,0.5420,0.5120,"349,853.0000","19,808.0000",19.9000,"37,500.0000","23,015.0000","23,015.0000",0.2260,"1,490.0000",818.0000,459.0000,99.0000,"1,261.0000",83.0000,"1,255.0000","1,370.6000",13.0100,"5,109,816.0000"
"Buena Vista city, Virginia","6,478.0000","6,607.0000",-0.0200,0.0510,0.2070,0.1840,0.1840,0.5720,0.8920,0.0730,0.0010,0.0190,0.0060,0.0180,0.8810,418.0000,0.0100,X,0.6800,"126,600.0000","1,012.0000",402.0000,795.0000,X,"2,517.0000",2.3600,0.8140,0.0270,0.7990,0.6970,0.8110,0.1590,0.0920,0.0920,0.1330,0.5570,0.4940,"34,821.0000","5,192.0000",18.7000,"32,455.0000","21,419.0000","21,419.0000",0.2550,313.0000,164.0000,117.0000,F,285.0000,56.0000,233.0000,991.9000,6.7000,"5,111,032.0000"
"Charlottesville city, Virginia","47,266.0000","43,425.0000",0.0880,0.0500,0.1560,0.1130,0.1130,0.5160,0.7060,0.1880,0.0020,0.0710,0.0290,0.0550,0.6570,"1,677.0000",0.1220,X,0.4280,"299,600.0000","1,612.0000",536.0000,"1,142.0000",X,"18,617.0000",2.3700,0.7130,0.1570,0.9240,0.8430,0.9110,0.5490,0.0580,0.0580,0.0920,0.6410,0.6450,"747,946.0000","17,016.0000",17.0000,"59,471.0000","38,328.0000","38,328.0000",0.2410,"5,935.0000","2,995.0000","2,093.0000",762.0000,"4,756.0000",471.0000,"4,912.0000","4,246.4000",10.2400,"5,114,968.0000"
"Chesapeake city, Virginia","244,835.0000","222,311.0000",0.1010,0.0630,0.2420,0.1300,0.1300,0.5110,0.6110,0.3000,0.0020,0.0320,0.0400,0.0620,0.5740,"26,832.0000",0.0590,X,0.7140,"273,700.0000","1,867.0000",587.0000,"1,279.0000",X,"84,849.0000",2.7600,0.8550,0.0830,0.9430,0.8990,0.9210,0.3320,0.0790,0.0790,0.0830,0.6190,0.5980,"4,114,946.0000","18,015.0000",26.7000,"78,640.0000","35,536.0000","35,536.0000",0.0860,"16,220.0000","8,748.0000","5,751.0000","5,419.0000","9,981.0000","2,502.0000","12,772.0000",652.0000,340.8000,"5,116,000.0000"
"Colonial Heights city, Virginia","17,370.0000","17,410.0000",-0.0020,0.0610,0.2280,0.2040,0.2040,0.5380,0.7550,0.1530,0.0030,0.0420,0.0310,0.0590,0.7230,"1,681.0000",0.0730,X,0.6290,"171,700.0000","1,308.0000",461.0000,"1,038.0000",X,"7,036.0000",2.4500,0.8250,0.1030,0.8920,0.7810,0.9150,0.2550,0.1040,0.1040,0.0920,0.6110,0.5540,"763,254.0000","43,667.0000",24.3000,"54,550.0000","28,364.0000","28,364.0000",0.1210,"1,600.0000",871.0000,430.0000,236.0000,"1,193.0000",150.0000,"1,269.0000","2,315.3000",7.5200,"5,118,448.0000"
"Covington city, Virginia","5,538.0000","5,951.0000",-0.0690,0.0590,0.2050,0.2020,0.2020,0.5210,0.8210,0.1310,0.0000,0.0120,0.0350,0.0240,0.8100,418.0000,0.0340,X,0.7450,"72,900.0000",820.0000,320.0000,619.0000,X,"2,384.0000",2.3100,0.9090,0.0230,0.8360,0.7720,0.8730,0.1560,0.0940,0.0940,0.1250,0.5790,0.5500,"158,331.0000","27,436.0000",16.5000,"40,655.0000","25,309.0000","25,309.0000",0.1320,430.0000,253.0000,80.0000,55.0000,330.0000,F,364.0000,"1,090.2000",5.4700,"5,119,728.0000"
"Danville city, Virginia","40,044.0000","43,071.0000",-0.0700,0.0590,0.2180,0.2030,0.2030,0.5400,0.4550,0.4940,0.0010,0.0120,0.0320,0.0430,0.4240,"2,915.0000",0.0350,X,0.5150,"90,500.0000","1,037.0000",367.0000,682.0000,X,"18,293.0000",2.1600,0.8630,0.0520,0.8060,0.7190,0.8180,0.1760,0.1470,0.1470,0.1190,0.5440,0.5180,"964,972.0000","22,443.0000",18.1000,"37,203.0000","22,826.0000","22,826.0000",0.2240,"3,073.0000","1,290.0000","1,225.0000","1,118.0000","1,679.0000",266.0000,"2,465.0000","1,002.8000",42.9300,"5,121,344.0000"
"Emporia city, Virginia","5,346.0000","5,925.0000",-0.0980,0.0500,0.2870,0.1680,0.1680,0.5490,0.2800,0.6320,0.0010,0.0030,0.0840,0.0680,0.2450,194.0000,0.0280,X,0.4010,"116,800.0000","1,096.0000",344.0000,694.0000,X,"2,086.0000",2.4900,0.8250,0.0650,0.8140,0.6520,0.7940,0.1380,0.1220,0.1220,0.1620,0.6080,0.6060,"136,519.0000","23,784.0000",18.4000,"27,063.0000","18,494.0000","18,494.0000",0.2700,581.0000,360.0000,148.0000,147.0000,381.0000,140.0000,393.0000,859.7000,6.8900,"5,125,808.0000"
"Fairfax city, Virginia","24,019.0000","22,554.0000",0.0650,0.0720,0.2230,0.1490,0.1490,0.5140,0.6780,0.0490,0.0010,0.1720,0.0510,0.1720,0.5620,"1,423.0000",0.2890,X,0.7000,"560,400.0000","2,750.0000",748.0000,"1,834.0000",X,"8,577.0000",2.6700,0.8380,0.3390,0.9830,0.9540,0.9400,0.6080,0.0410,0.0410,0.0850,0.7020,0.6350,"1,757,516.0000","74,912.0000",31.5000,"116,979.0000","50,029.0000","50,029.0000",0.0930,"4,757.0000","2,506.0000","1,546.0000","1,738.0000","2,669.0000",329.0000,"4,062.0000","3,616.8000",6.2400,"5,126,496.0000"
"Falls Church city, Virginia","14,617.0000","12,244.0000",0.1940,0.0530,0.2490,0.1290,0.1290,0.5140,0.7940,0.0490,0.0020,0.0990,0.0370,0.1070,0.7170,908.0000,0.1920,X,0.5830,"789,300.0000","3,418.0000","1,163.0000","1,867.0000",X,"5,493.0000",2.5600,0.8050,0.1930,0.9820,0.9370,0.9890,0.7760,0.0460,0.0460,0.0300,0.7440,0.6900,"310,182.0000","23,447.0000",29.1000,"127,610.0000","72,325.0000","72,325.0000",0.0320,"2,129.0000","1,090.0000",763.0000,503.0000,"1,520.0000",213.0000,"1,786.0000","6,169.1000",2.0000,"5,127,200.0000"
"Franklin city, Virginia","7,967.0000","8,578.0000",-0.0710,0.0670,0.2520,0.1930,0.1930,0.5530,0.3690,0.5670,0.0000,0.0130,0.0410,0.0110,0.3690,579.0000,0.0140,X,0.5160,"164,100.0000","1,173.0000",462.0000,860.0000,X,"3,522.0000",2.2800,0.9000,0.0270,0.8160,0.7290,0.8630,0.1910,0.0830,0.0830,0.0800,0.6500,0.6510,"228,303.0000","26,771.0000",25.0000,"40,417.0000","24,025.0000","24,025.0000",0.1470,734.0000,296.0000,356.0000,388.0000,280.0000,30.0000,634.0000,"1,045.8000",8.2100,"5,129,600.0000"
"Fredericksburg city, Virginia","29,036.0000","24,178.0000",0.2010,0.0700,0.2100,0.1080,0.1080,0.5460,0.6230,0.2210,0.0020,0.0270,0.0710,0.1070,0.5940,"1,877.0000",0.1020,X,0.3550,"367,200.0000","2,005.0000",561.0000,"1,258.0000",X,"10,762.0000",2.4200,0.7180,0.1240,0.9350,0.8470,0.9020,0.4090,0.0820,0.0820,0.1230,0.7130,0.6710,"1,074,978.0000","39,366.0000",30.0000,"65,641.0000","35,731.0000","35,731.0000",0.1550,"2,635.0000","1,124.0000",952.0000,544.0000,"1,787.0000",247.0000,"2,041.0000","2,326.2000",10.4400,"5,129,744.0000"
"Galax city, Virginia","6,347.0000","6,989.0000",-0.0920,0.0510,0.2170,0.2240,0.2240,0.5260,0.8960,0.0750,0.0000,0.0060,0.0030,0.1450,0.7910,532.0000,0.0650,X,0.6810,"96,600.0000",967.0000,322.0000,574.0000,X,"2,663.0000",2.3100,0.8890,0.1270,0.7990,0.6850,0.7570,0.1480,0.2050,0.2050,0.2030,0.5480,0.5280,"259,619.0000","37,582.0000",19.4000,"33,575.0000","23,025.0000","23,025.0000",0.2380,780.0000,343.0000,298.0000,48.0000,680.0000,124.0000,599.0000,854.6000,8.2400,"5,130,208.0000"
"Hampton city, Virginia","134,510.0000","137,464.0000",-0.0210,0.0610,0.2110,0.1500,0.1500,0.5180,0.4110,0.4990,0.0050,0.0250,0.0420,0.0580,0.3820,"18,797.0000",0.0470,X,0.5570,"186,700.0000","1,511.0000",495.0000,"1,118.0000",X,"54,050.0000",2.4100,0.8120,0.0650,0.9140,0.8200,0.9140,0.2690,0.1160,0.1160,0.0950,0.6020,0.5960,"1,512,476.0000","11,053.0000",22.6000,"56,287.0000","30,135.0000","30,135.0000",0.1520,"8,058.0000","3,626.0000","3,473.0000","3,865.0000","3,694.0000","1,181.0000","6,139.0000","2,673.2000",51.4100,"5,135,000.0000"
"Harrisonburg city, Virginia","53,016.0000","48,900.0000",0.0840,0.0510,0.1630,0.0900,0.0900,0.5200,0.8040,0.0740,0.0010,0.0390,0.0670,0.1970,0.6610,"1,236.0000",0.1710,X,0.3960,"203,600.0000","1,266.0000",425.0000,883.0000,X,"16,723.0000",2.7500,0.6990,0.2550,0.9020,0.7800,0.8390,0.3630,0.0650,0.0650,0.1360,0.5970,0.5540,"1,519,791.0000","29,811.0000",16.6000,"46,679.0000","23,202.0000","23,202.0000",0.2830,"3,745.0000","1,964.0000","1,018.0000",684.0000,"2,771.0000",423.0000,"2,991.0000","2,808.2000",17.4200,"5,135,624.0000"
"Hopewell city, Virginia","22,529.0000","22,591.0000",-0.0030,0.0740,0.2570,0.1550,0.1550,0.5320,0.5090,0.4350,0.0010,0.0140,0.0240,0.0790,0.4650,"2,073.0000",0.0370,X,0.4670,"122,900.0000","1,075.0000",423.0000,886.0000,X,"9,224.0000",2.4100,0.8190,0.0850,0.8400,0.7570,0.8130,0.1480,0.1440,0.1440,0.1090,0.5880,0.5620,"164,780.0000","7,373.0000",24.5000,"39,030.0000","21,927.0000","21,927.0000",0.2360,"1,238.0000",616.0000,511.0000,452.0000,715.0000,141.0000,"1,018.0000","2,198.0000",10.2800,"5,138,424.0000"
"Lexington city, Virginia","7,446.0000","7,037.0000",0.0580,0.0230,0.0900,0.1560,0.1560,0.4320,0.8370,0.0880,0.0000,0.0350,0.0280,0.0610,0.7910,293.0000,0.0470,X,0.5240,"235,700.0000","1,085.0000",492.0000,788.0000,X,"2,158.0000",2.0200,0.7980,0.0620,0.8370,0.7190,0.9140,0.4670,0.0990,0.0990,0.0570,0.3840,0.4800,"92,664.0000","13,241.0000",15.9000,"42,632.0000","19,047.0000","19,047.0000",0.2740,689.0000,337.0000,270.0000,25.0000,598.0000,94.0000,522.0000,"2,820.2000",2.5000,"5,145,512.0000"
