School Number,,School Name,English Reading 2018-2019 Adv Pass Rate,Writing 2018-2019 Adv Pass Rate,Geography 2018-2019 Adv Pass Rate,VA & US History 2018-2019 Adv Pass Rate,World History I 2018-2019 Adv Pass Rate,World History II 2018-2019 Adv Pass Rate,Algebra I 2018-2019 Adv Pass Rate,Algebra II 2018-2019 Adv Pass Rate,Geometry 2018-2019 Adv Pass Rate,Biology 2018-2019 Adv Pass Rate,Chemistry 2018-2019 Adv Pass Rate,Earth Science 2018-2019 Adv Pass Rate,Standard Diploma ,Advanced Studies Diploma ,Other Diploma ,Certificate of Program Completion ,GED Certificate ,ISAEP3,Total Graduates2 and Completers 2019-2020,Attending Two-year Colleges,Attending Four-year Colleges,Other Continuing Education Plans,Employment,Military,No Plans,Division Name,Jurisdiction,"Population estimates, July 1, 2019, (V2019)","Female persons, percent","White alone, percent","Black or African American alone, percent(a)","American Indian and Alaska Native alone, percent(a)","Asian alone, percent(a)","Hispanic or Latino, percent(b)","Owner-occupied housing unit rate, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Population per square mile, 2010"
140,,Lebanon High,,6,6,6,,11,9,,,17,19,3,73,52,2,,3,1,131,50,38,,39,1,3,Russell County  ,"Russell County, Virginia",26586,0.512,0.976,0.011,0.003,0.002,0.014,0.761,0.72,0.597,0.803,0.122,39758,21605,0.2,61
770,,Gate City High,15,7,10,,9,8,2,6,23,0,4,6,54,77,12,,,,143,49,40,3,43,3,5,Scott County  ,"Scott County, Virginia",21566,0.497,0.976,0.009,0.003,0.002,0.015,0.774,0.742,0.643,0.814,0.133,39820,22898,0.148,43.3
260,,Rye Cove High,14,14,4,8,10,4,0,0,2,0,2,5,31,13,1,,,,45,22,6,1,10,,6,Scott County  ,"Scott County, Virginia",21566,0.497,0.976,0.009,0.003,0.002,0.015,0.774,0.742,0.643,0.814,0.133,39820,22898,0.148,43.3
780,,Twin Springs High,4,,0,0,0,5,5,19,8,19,2,24,22,21,2,1,,,46,15,12,1,14,2,2,Scott County  ,"Scott County, Virginia",21566,0.497,0.976,0.009,0.003,0.002,0.015,0.774,0.742,0.643,0.814,0.133,39820,22898,0.148,43.3
780,,Central High,5,4,8,9,28,,19,0,18,21,22,5,96,93,13,,,,202,57,61,11,70,2,1,Shenandoah County  ,"Shenandoah County, Virginia",43616,0.509,0.936,0.029,0.005,0.011,0.074,0.709,0.84,0.744,0.87,0.205,57252,28882,0.103,82.5
790,,Stonewall Jackson High,7,11,7,9,14,8,7,3,19,12,10,0,75,55,7,2,,,139,42,44,14,29,9,1,Shenandoah County  ,"Shenandoah County, Virginia",43616,0.509,0.936,0.029,0.005,0.011,0.074,0.709,0.84,0.744,0.87,0.205,57252,28882,0.103,82.5
770,,Strasburg High,4,5,5,9,4,5,4,0,0,0,0,2,75,76,1,,,,152,63,42,6,31,10,,Shenandoah County  ,"Shenandoah County, Virginia",43616,0.509,0.936,0.029,0.005,0.011,0.074,0.709,0.84,0.744,0.87,0.205,57252,28882,0.103,82.5
460,,Chilhowie High,17,2,12,,22,0,9,,0,0,4,8,58,39,1,,,,98,30,17,8,41,2,,Smyth County  ,"Smyth County, Virginia",30104,0.511,0.957,0.025,0.002,0.005,0.02,0.715,0.796,0.7,0.833,0.146,40932,21605,0.165,71.4
700,,Marion Senior High,31,0,0,27,0,12,0,5,6,0,13,19,60,63,8,,,1,132,50,40,6,31,4,1,Smyth County  ,"Smyth County, Virginia",30104,0.511,0.957,0.025,0.002,0.005,0.02,0.715,0.796,0.7,0.833,0.146,40932,21605,0.165,71.4
250,,Northwood High,0,18,0,3,0,7,5,23,5,14,14,0,51,12,,,,,63,48,3,2,7,2,1,Smyth County  ,"Smyth County, Virginia",30104,0.511,0.957,0.025,0.002,0.005,0.02,0.715,0.796,0.7,0.833,0.146,40932,21605,0.165,71.4
